Tickers,Company Names
BFIN UW Equity,BANKFINANCIAL
BFS UN Equity,SAUL CENTERS INC
BG UN Equity,BUNGE LTD
BGC UN Equity,GEN CABLE CORP
BGCP UW Equity,BGC PARTNERS-A
BGFV UW Equity,BIG 5 SPORTING
BGG UN Equity,BRIGGS & STRATTN
BGS UN Equity,B&G FOODS INC
BH UN Equity,BIGLARI HOLDINGS
BHB UA Equity,BAR HARBOR BNKSH
BHE UN Equity,BENCHMARK ELECTR
BHI UN Equity,BAKER HUGHES INC
BHLB UN Equity,BERKSHIRE HILLS
BID UN Equity,SOTHEBY'S
BIG UN Equity,BIG LOTS INC
BIIB UW Equity,BIOGEN IDEC INC
BIO UN Equity,BIO-RAD LABS-A
BIOL UR Equity,BIOLASE INC
BIOS UW Equity,BIOSCRIP INC
BIRT UW Equity,ACTUATE CORP
BJRI UW Equity,BJ'S RESTAURANTS
BK UN Equity,BANK NY MELLON
BKCC UW Equity,BLACKROCK KELSO
BKD UN Equity,BROOKDALE SR
BKE UN Equity,THE BUCKLE INC
BKH UN Equity,BLACK HILLS CORP
BKMU UW Equity,BANK MUTUAL CORP
BKS UN Equity,BARNES & NOBLE
BKU UN Equity,BANKUNITED INC
BKW UN Equity,BURGER KING WORL
BKYF UW Equity,BANK KENTUCKY
BLC UN Equity,BELO CORP-A
BLDR UW Equity,BUILDERS FIRSTSO
BLK UN Equity,BLACKROCK INC
BLKB UW Equity,BLACKBAUD INC
BLL UN Equity,BALL CORP
BLMN UW Equity,BLOOMIN' BRANDS
BLOX UN Equity,INFOBLOX INC
BLT UN Equity,BLOUNT INTL
BLUE UW Equity,BLUEBIRD BIO INC
BLX UN Equity,BANCO LATINOAM-E
BMI UN Equity,BADGER METER INC
BMR UN Equity,BIOMED REALTY TR
BMRC UR Equity,BANK OF MARIN BA
BMRN UW Equity,BIOMARIN PHARMAC
BMS UN Equity,BEMIS CO
BMTC UW Equity,BRYN MAWR BANK
BMY UN Equity,BRISTOL-MYER SQB
BNCL UW Equity,BENEFICIAL MUTUA
BNCN UR Equity,BNC BANCORP
BNNY UN Equity,ANNIE'S INC
BOBE UW Equity,BOB EVANS FARMS
BODY UW Equity,BODY CENTRAL COR
BOFI UW Equity,BOFI HOLDING INC
BOH UN Equity,BANK OF HAWAII
BOKF UW Equity,BOK FINL CORP
BOLT UW Equity,BOLT TECHNOLOGY
BONT UW Equity,BON-TON STORES
BOOM UW Equity,DYNAMIC MATERIAL
BPFH UW Equity,BOSTON PRIV FINL
BPI UN Equity,BRIDGEPOINT EDUC
BPOP UW Equity,POPULAR INC
BPZ UN Equity,BPZ RESOURCES IN
BR UN Equity,BROADRIDGE FINL
BRC UN Equity,BRADY CORP - A
BRCD UW Equity,BROCADE COMM SYS
BRCM UW Equity,BROADCOM CORP-A
BRE UN Equity,BRE PROPERTIES
BREW UQ Equity,CRAFT BREW ALLIA
BRK/B UN Equity,BERKSHIRE HATH-B
BRKL UW Equity,BROOKLINE BANCRP
BRKR UW Equity,BRUKER CORP
BRKS UW Equity,BROOKS AUTOMATIO
BRLI UW Equity,BIO-REFER LABS
BRO UN Equity,BROWN & BROWN
BRS UN Equity,BRISTOW GROUP IN
BRSS UN Equity,GLOBAL BRASS & C
BRY UN Equity,BERRY PETROL-A
BSET UW Equity,BASSETT FURN
BSFT UW Equity,BROADSOFT INC
BSRR UW Equity,SIERRA BANCORP
BSX UN Equity,BOSTON SCIENTIFC
BTH UN Equity,BLYTH INC
BTU UN Equity,PEABODY ENERGY
BTX UA Equity,BIOTIME INC
BUSE UW Equity,FIRST BUSEY CORP
BV UW Equity,BAZAARVOICE INC
BWA UN Equity,BORGWARNER INC
BWC UN Equity,BABCOCK & WILCOX
BWINB UQ Equity,BALDWIN & LYON B
BWLD UW Equity,BUFFALO WILD WIN
BWS UN Equity,BROWN SHOE CO
BXC UN Equity,BLUELINX HOLDING
BXP UN Equity,BOSTON PROPERTIE
BXS UN Equity,BANCORPSOUTH INC
BYD UN Equity,BOYD GAMING CORP
BYI UN Equity,BALLY TECHNOLOGI
BZ UN Equity,BOISE INC
BZH UN Equity,BEAZER HOMES USA
C UN Equity,CITIGROUP INC
CA UW Equity,CA INC
CAB UN Equity,CABELA'S INC
CAC UW Equity,CAMDEN NATIONAL
CACB UR Equity,CASCADE BANCORP
CACC UW Equity,CREDIT ACCEPTANC
CACI UN Equity,CACI INTL-A
