Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2010/11/26,13.19,42.41,64.91,11.14,84.13,19.54,82.11,46.42,36.7,15.83,31,43.2,144.11,21.33,62.43,37.59,32.095,78.81,84.4,34.86,25.34,16.57,62.13,27.98,54.37,35.88,75.28,32.27,53.74,69.27
2010/11/29,13.29,43.33,64.36,11.31,83.67,19.44,81.69,46.92,36.42,15.97,30.69,42.6,142.89,21.33,61.91,37.91,31.695,78.26,84.22,34.69,25.31,16.56,62.13,27.7,54.18,36.59,74.8,31.9,53.85,69.45
2010/11/30,13.12,43.22,63.77,10.95,84.6,19.16,80.97,46.99,36.51,15.83,30.21,41.93,141.46,21.12,61.55,37.38,31.585,78.3,83.98,34.47,25.21,16.29,61.07,27.79,53.99,36.52,75.27,32.01,54.09,69.56
2010/12/1,13.57,44.3,65.72,11.29,87.45,19.32,82.7,48.35,37.12,16.3,31.61,42.57,144.41,21.48,62.42,38.15,32.35,79.29,86.05,35.06,26.05,16.72,62.15,28.28,54.89,37.67,78.26,32.35,54.7,71.33
2010/12/2,14.09,44.98,66.59,11.68,88.62,19.22,84.5,48.63,37.34,16.68,33.36,43.11,145.18,21.7,62.6,39.31,32.45,79.38,86.51,35.22,26.9,16.69,62.36,28.55,55.11,38.05,78.7,32.74,54.75,71.48
2010/12/3,14.22,44.88,66.54,11.86,89.38,19.07,84.89,49.24,37.59,16.78,33.48,43.03,145.38,21.7,62.56,39.61,32.25,79.76,86.94,35.3,27.02,16.73,62.33,28.49,54.86,37.82,78.74,32.9,54.62,71.19
2010/12/6,14.24,45,66.59,11.64,89.2,19.41,84.95,48.93,37.56,16.7,33.34,42.85,145,21.7,62.2,39.88,31.995,79.58,86.88,35.25,26.84,16.8,62.06,28.3,55.02,37.29,78.41,32.89,54.47,71.31
2010/12/7,14.15,44.78,66.23,11.57,90.35,19.39,86.3,48.96,37.33,17.03,33.55,42.19,144.02,21.58,62.31,39.25,32.07,80.34,84.19,35.37,26.87,16.77,62.15,28.54,54.84,36.77,78.54,32.95,55.09,71.46
2010/12/8,14.14,45.63,65.18,12,89.62,19.35,86.14,48.88,36.97,17.04,34.03,42.66,144.98,21.82,62.45,40.26,32.195,78.74,84.68,35.4,27.2,16.72,62.63,28.63,55.06,36.84,77.69,32.98,54.49,71.85
2010/12/9,14.15,45.81,64.61,12.65,89.67,19.7,86.65,48.32,36.74,17.13,34.32,42.57,144.3,21.8,62.06,40.81,32.415,77.61,84.11,35.67,27.1,16.76,62.87,28.82,54.63,36.65,77.63,33.56,54.34,72.01
2010/12/10,14.25,46.26,64.16,12.8,89.94,19.71,87.03,48.62,36.66,17.72,34.4,42.62,144.82,21.91,61.91,41.43,32.325,77.56,84.32,35.99,27.34,17.02,63.2,28.89,54.78,36.67,78.4,34.04,54.28,72.18
2010/12/13,14.36,46.37,63.79,12.54,91.63,19.57,88.37,48.56,37.13,17.62,34.56,41.65,144.28,21.5,61.86,41.51,32.425,77.11,85.3,36.1,27.23,17.19,63.19,28.78,55.29,36.9,78.15,34.11,54.21,72.36
2010/12/14,14.19,46.2,64.49,12.4,92.09,19.54,88.38,49.13,37.24,17.69,34.72,41.55,145.82,21.47,62.77,40.79,31.95,77.11,85.84,36.55,27.63,17.11,63.55,29.34,55.34,36.5,78.85,34.67,54.46,72.18
2010/12/15,13.96,46.12,64.24,12.29,93.12,19.47,88.01,49.24,36.95,17.49,34.79,41.23,144.72,21.28,62.57,40.21,32.37,76.98,85.81,36.66,27.85,17.08,63.64,29.13,55.15,35.45,78.95,34.63,54.23,71.85
2010/12/16,14.46,44.57,64.4,12.52,93.2,19.74,89.06,49.45,37.01,17.77,35.12,41.95,144.56,21.29,62.4,40.02,32.67,76.71,86.4,36.84,27.97,17.22,64.5,29.23,55.36,35.61,79.02,34.76,54.63,72.25
2010/12/17,14.56,44.01,65.03,12.57,92.59,19.5,88.49,49.86,37.05,17.7,35.1,41.96,145,21.46,62.54,39.67,32.85,76.81,86.37,36.48,27.79,17.03,64.81,29.21,55.18,35.05,78.8,34.64,54.41,72.17
2010/12/20,14.77,42.5,63.27,12.62,93.3,19.62,88.8,49.72,37.06,17.7,35.2,41.89,144.51,21.24,62.49,39.95,32.655,76.92,87.34,36.5,27.81,17.17,64.97,29.13,55.45,35.18,78.9,34.74,53.77,72.22
2010/12/21,14.89,43.23,64.19,12.98,94.63,19.53,89.23,49.97,37.33,17.9,35.08,41.91,145.74,21.1,62.34,41,32.745,76.86,86.53,36.18,28.07,17.38,64.87,29.07,55.87,35.33,79.35,34.94,53.65,72.72
2010/12/22,15.14,42.81,64.61,13.38,94.57,19.56,89.89,49.8,37.95,18.06,35.18,41.48,145.95,20.89,62.02,42.16,32.795,77.01,86.72,36.22,28.18,17.56,64.95,29.13,55.85,35.84,79.52,35.18,53.31,72.8
2010/12/23,15.34,42.77,65.06,13.06,94.45,19.69,90.68,49.77,37.7,18.04,35.09,41.74,145.89,20.84,62.25,42.08,32.79,76.96,86.47,36.29,28.3,17.61,65.24,29.2,55.48,35.77,79.5,35.44,53.6,73.2
2010/12/27,15.23,43.05,64.75,13.27,94.07,20.16,90.12,49.63,37.48,18.19,35.24,41.82,145.34,20.84,61.93,42.67,32.535,76.43,87.01,36.23,28.07,17.49,64.67,29.25,55.79,35.54,79.27,35.5,53.57,73.01
2010/12/28,15.25,42.79,64.86,13.34,93.69,20.35,91.19,49.82,37.36,18.32,35.09,42.25,145.71,20.88,62.05,42.61,32.68,76.43,86.74,36.2,28.01,17.59,64.76,29.23,55.66,35.72,79.29,35.62,53.74,73.42
2010/12/29,15.13,42.86,65.05,13.31,93.78,20.25,91.37,50.02,37.6,18.27,34.89,42.32,146.52,20.94,62.13,42.36,32.725,76.99,86.76,36.21,27.97,17.6,64.4,29.31,55.59,35.91,79.1,35.58,54.08,73.37
2010/12/30,15.21,42.51,65.01,13.28,93.87,20.23,91.6,49.69,37.48,18.19,34.86,42.26,146.67,21.02,61.94,42.23,32.75,76.76,86.54,36.01,27.85,17.49,64.28,29.33,55.54,35.94,78.85,35.56,54.07,73.36
